Designator,Mid X,Mid Y,Rotation,Layer
C1,25.75,26.0,180.0,top
C10,47.238,48.5,90.0,top
C11,47.238,46.0,90.0,top
C12,45.238,45.5,0.0,top
C13,26.5,43.0,270.0,top
C14,26.5,45.0,90.0,top
C2,25.75,31.0,180.0,top
C3,26.45,28.5,90.0,top
C4,43.5,43.5,270.0,top
C5,24.025,35.5,180.0,top
C6,46.0,43.5,0.0,top
C7,24.025,23.0,180.0,top
C8,45.425,31.0,0.0,top
C9,23.5,49.5,180.0,top
D1,28.5,21.5,0.0,top
D2,48.0,22.5,90.0,top
D3,44.575,40.575,0.0,top
D4,23.425,39.5,0.0,top
D5,47.5,39.5,270.0,top
D6,23.0,33.0,0.0,top
D7,46.5,28.5,180.0,top
J10,15.0,50.0,0.0,top
J11,55.0,50.0,180.0,top
J12,39.75,22.445,0.0,top
J2,15.0,16.5,0.0,top
J3,55.0,16.5,180.0,top
J5,26.5,16.77,0.0,top
J6,15.0,39.5,0.0,top
J7,55.0,39.5,180.0,top
J8,15.0,27.0,0.0,top
J9,55.0,27.0,180.0,top
L1,29.05,28.5,90.0,top
R1,22.55,28.5,90.0,top
R10,34.5,30.0,270.0,top
R11,35.5,30.0,270.0,top
R12,37.5,30.0,270.0,top
R13,40.0,30.0,270.0,top
R14,41.0,30.0,270.0,top
R15,42.0,30.0,270.0,top
R16,43.5,47.5,270.0,top
R2,22.55,30.300001,90.0,top
R3,22.55,26.7,90.0,top
R4,30.5,21.5,0.0,top
R5,48.0,20.5,270.0,top
R6,43.5,45.5,270.0,top
R7,28.5,23.0,0.0,top
R8,30.5,23.0,0.0,top
R9,33.5,30.0,270.0,top
U1,24.45,28.5,90.0,top
U2,35.0,39.0,0.0,top
U3,24.0,52.0,90.0,top
U4,46.0,52.0,90.0,top
U5,24.3,47.0,180.0,top
U6,45.5,47.6,0.0,top
