Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C26",C_0805,2,100uF,C141660
C19,C_0402,1,100nF,
C2,CP_EIA-7343-31_Kemet-D,1,C_Polarized,
C20,C_0603,1,22uF,
C5,C_0402,1,1uF,
"D1, D20, D3",DFN1006-2L,3,~,C5137770
D2,D_SOD-123,1,MBR0530,
D4,SMD1010,1,XL-1010RGBC-WS2812B,C5349953
J1,JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,1,JST-PH-SM4-TB,C295747
J2,USB-C-Socket-H,1,USB-C-Socket-V,C709357
J3,WAGO-2060-453-998-404,1,Wago,C2765056
J4,AA-Pad,1,Reset,
J5,WAGO-2060-452-998-404,1,BTN,C2765055
"Q1, Q3",SOT-23,2,CJ2301,C5224170
"R1, R4, R5, R6",R_0402,4,10K,
"R11, R7, R8, R9",R_0402,4,100K 1%,C5139597
"R2, R3",R_0402,2,5K1,
U1,ESP32-S3-MINI-1,1,ESP32-S3-MINI-1,
U3,SOT-23-5,1,TP4054,C668215
U4,SOT-23-5,1,ME6211C33M5G-N,C82942
