Designator,Mid X,Mid Y,Rotation,Layer
C1,32.0,23.0,90.0,top
C19,30.5,37.2,270.0,top
C2,51.3,42.3,0.0,top
C20,32.5,27.0,180.0,top
C26,37.0,26.5,180.0,top
C5,30.5,41.0,90.0,top
D1,30.5,33.0,90.0,top
D2,41.0,26.5,180.0,top
D20,47.5,28.5,0.0,top
D3,30.5,34.925,90.0,top
D4,17.0,35.0,0.0,top
J1,50.5,26.0,270.0,top
J2,51.86,35.25,90.0,top
J3,23.0,28.0,0.0,top
J4,39.0,37.0,0.0,bottom
J5,23.0,40.0,0.0,top
Q1,42.0,23.5,270.0,top
Q3,45.05,23.4375,270.0,top
R1,30.5,39.0,90.0,top
R11,47.5,23.5,0.0,top
R2,47.25,36.75,90.0,top
R3,47.25,38.75,90.0,top
R4,32.0,25.5,0.0,top
R5,33.9,25.5,180.0,top
R6,22.25,35.0,0.0,top
R7,30.5,26.1,270.0,top
R8,30.5,24.3,270.0,top
R9,30.5,28.0,270.0,top
U1,39.0,35.5,0.0,top
U3,38.5,23.5,270.0,top
U4,35.0,23.0,0.0,top
