Designator,Footprint,Quantity,Value,LCSC Part #
C1,C_0603_,1,10uF 35V,C194427
"C10, C14, C15, C9",C_0402,4,100nF,
"C11, C12",C_0402,2,10uF,C15525
C13,C_0402,1,100nF,C15525
C16,C_0603,1,22uF,
C2,C_0603_,1,10uF 6.3V,C1691
C3,C_0603_,1,100nF,
C4,C_0402,1,1uF,
"C5, C6, C7, C8",CP_EIA-7343-31_Kemet-D,4,C_Polarized,C106188
"D1, D2, D4, D5, D6, D7",DFN1006-2L,6,~,C5137770
D3,SMD1010,1,XL-1010RGBC-WS2812B,C5349953
J10,WAGO-2060-452-998-404,1,L,C2765055
J11,WAGO-2060-452-998-404,1,R,C2765055
J12,TF_PUSH,1,TF_PUSH,C393941
J2,WAGO-2060-452-998-404,1,A,C2765055
J3,WAGO-2060-452-998-404,1,B,C2765055
J5,USB-C-Socket-H,1,USB-C-Socket-H,C709357
J6,WAGO-2060-453-998-404,1,1,C2765056
J7,WAGO-2060-453-998-404,1,2,C2765056
J8,WAGO-2060-453-998-404,1,3,C2765056
J9,WAGO-2060-453-998-404,1,4,C2765056
L1,L_4x4_,1,10uH,
R1,R_0402_,1,124k,
"R10, R11, R12, R13, R14, R15, R4, R5, R6, R9",R_0402,10,10K,
R16,R_0402,1,210R,C226891
R2,R_0402_,1,39k2,
R3,R_0402_,1,1M,
"R7, R8",R_0402,2,5K1,
U1,SOT-23-6-MD8942,1,MD8942,C2684786
U2,ESP32-S3-MINI-1,1,ESP32-S3-MINI-1,C3013941
U3,ICS43434_MEMS_Mic_Open,1,L,C5656610
U4,ICS43434_MEMS_Mic_Open,1,R,C5656610
"U5, U6",WLP-1.437mmx1.347mm-0.21mm-ball,2,MAX98357A,
